13.05.2024 04:26:35.234: [I] Ham2: Add entity=[MdbTcpMstrDhubDriver], expected process=[MdbTcpMstrDhubDriver] (argv = /scripts/dhub/modbus_tcp_master_dhub_driver.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[MdbTcpSlvDhubDriver], expected process=[MdbTcpSlvDhubDriver] (argv = /scripts/dhub/modbus_tcp_slave_dhub_driver.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[rbloop], expected process=[rbloop] (argv = /scripts/dhub/rbloop.sh)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[regul-bus-driver], expected process=[regul-bus-driver] (argv = /scripts/dhub/regulbus_dhub_driver.sh)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[redundancy_dhub_driver], expected process=[redundancy_dhub_driver] (argv = /scripts/dhub/redundancy_dhub_driver.sh)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[IEC60870Driver], expected process=[iec60870driver] (argv = /scripts/dhub/iec60870_dhub_driver.sh)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[codesyscontrol], expected process=[codesyscontrol] (argv = /usr/bin/runtime-launcher)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[espd-default], expected process=[espd] (argv = /scripts/espd.sh default)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[espd-rdd], expected process=[espd] (argv = /scripts/espd.sh redundancy)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[ssdsmart], expected process=[ssdsmart] (argv = /usr/bin/ssdsmart)
13.05.2024 04:26:35.235: [I] Ham2: Add entity=[supcd], expected process=[supcd] (argv = /usr/bin/supcd)
13.05.2024 04:26:35.278: [I] Ham2: Entity start: ham_guard (pid: 5255268, count start: 1)
13.05.2024 04:26:35.318: [I] Ham2: Add entity=[ham], expected process=[ham2] (argv = /usr/bin/ham2)
13.05.2024 04:26:35.341: [I] Ham2: Entity attach: logger (pid: 1163279, attach count: 1)
13.05.2024 04:26:35.362: [I] Ham2: Entity attach: ham (pid: 5128279, attach count: 1)
13.05.2024 04:26:35.362: [I] Ham2: Service started successfully
13.05.2024 04:26:35.369: [I] Ham2: Entity attach: gpiod (pid: 2252842, attach count: 1)
13.05.2024 04:26:35.467: [I] Ham2: Entity start: devc-soe (pid: 5394530, count start: 1)
13.05.2024 04:26:35.613: [I] Ham2: Entity start: hart_dhub_driver (pid: 5492853, count start: 1)
13.05.2024 04:26:35.752: [I] Ham2: Entity start: sysinfo0 (pid: 5623894, count start: 1)
13.05.2024 04:26:36.054: [I] Ham2: Entity start: sysinfo1 (pid: 5791843, count start: 1)
13.05.2024 04:26:36.202: [I] Ham2: Entity start: sysinfo2 (pid: 5877882, count start: 1)
13.05.2024 04:26:36.683: [I] Ham2: Entity start: sysinfo3 (pid: 6185093, count start: 1)
13.05.2024 04:26:36.967: [I] Ham2: Entity start: opcua_dhub_driver (pid: 6340711, count start: 1)
13.05.2024 04:26:37.212: [I] Ham2: Entity start: MdbSerialMstrDhubDriver (pid: 6463599, count start: 1)
13.05.2024 04:26:37.425: [I] Ham2: Entity start: MdbSerialSlvDhubDriver (pid: 6598764, count start: 1)
13.05.2024 04:26:37.549: [I] Ham2: Entity start: MdbTcpMstrDhubDriver (pid: 6680726, count start: 1)
